id,level,task,rt,acc
1W5HQaoCSR,easy,MR,1.67056875,0.3125
1W5HQaoCSR,hard,MR,2.53706875,0.3125
1W5HQaoCSR,medium,MR,1.9612562500000001,0.5625
2Rn7YC7ktN,easy,MR,8.44544375,1
2Rn7YC7ktN,hard,MR,17.05133125,0.5625
2Rn7YC7ktN,medium,MR,20.72261875,0.875
2dX8HaA5QM,easy,MR,5.31985625,0.75
2dX8HaA5QM,hard,MR,11.86006875,0.9375
2dX8HaA5QM,medium,MR,9.0730875,0.8125
2vlCeeOoXs,easy,MR,5.18289375,0.875
2vlCeeOoXs,hard,MR,6.30901875,0.375
2vlCeeOoXs,medium,MR,1.095175,0.375
5oQkfRc0Dh,easy,MR,9.581875,1
5oQkfRc0Dh,hard,MR,19.06794375,0.9375
5oQkfRc0Dh,medium,MR,11.829925,0.9375
8BtJMmB1PT,easy,MR,7.72686875,0.5
8BtJMmB1PT,hard,MR,4.562025,0.5
8BtJMmB1PT,medium,MR,10.08883125,0.625
8PPM98ESGr,easy,MR,7.5791875,0.875
8PPM98ESGr,hard,MR,8.2192625,0.875
8PPM98ESGr,medium,MR,9.11450625,0.6875
8eLeJBm5SV,easy,MR,4.73290625,0.75
8eLeJBm5SV,hard,MR,7.5942375,0.625
8eLeJBm5SV,medium,MR,4.4467375,0.6875
8xVAczfPKp,easy,MR,6.49724375,0.875
8xVAczfPKp,hard,MR,10.32464375,0.75
8xVAczfPKp,medium,MR,7.8232875,0.6875
DoJgv77gQp,easy,MR,4.33804375,0.8125
DoJgv77gQp,hard,MR,8.54538125,0.9375
DoJgv77gQp,medium,MR,7.321125,1
EgEJAn9pKN,easy,MR,3.572575,0.8125
EgEJAn9pKN,hard,MR,3.88954375,0.6875
EgEJAn9pKN,medium,MR,3.31093125,0.625
ExbVOsMHAA,easy,MR,3.736425,0.6875
ExbVOsMHAA,hard,MR,5.18385625,0.625
ExbVOsMHAA,medium,MR,3.3744625,0.5
FDaGWmAPTr,easy,MR,4.2579875000000005,0.8125
FDaGWmAPTr,hard,MR,10.2,0.75
FDaGWmAPTr,medium,MR,8.33305625,0.8125
FfPm6QztsA,easy,MR,11.88186875,0.8125
FfPm6QztsA,hard,MR,13.60034375,0.375
FfPm6QztsA,medium,MR,14.67478125,0.875
GJzcwSPe9Z,easy,MR,6.021125,0.9375
GJzcwSPe9Z,hard,MR,8.9926875,0.6875
GJzcwSPe9Z,medium,MR,7.891875,0.75
HF94YUUt2C,easy,MR,3.4419875,1
HF94YUUt2C,hard,MR,19.712162499999998,0.6875
HF94YUUt2C,medium,MR,12.30860625,0.5625
HajArhl9Mf,easy,MR,6.45041875,0.875
HajArhl9Mf,hard,MR,11.4939,0.5625
HajArhl9Mf,medium,MR,8.684525,0.625
HmPsw2WtYS,easy,MR,4.15665,0.875
HmPsw2WtYS,hard,MR,7.57935,0.8125
HmPsw2WtYS,medium,MR,5.447375,0.8125
Hxjg3OTYhu,easy,MR,6.9301625,0.875
Hxjg3OTYhu,hard,MR,14.18196875,0.75
Hxjg3OTYhu,medium,MR,9.75136875,0.9375
I64skoy66n,easy,MR,5.8784374999999995,1
I64skoy66n,hard,MR,10.2193125,0.4375
I64skoy66n,medium,MR,11.7095,0.8125
IMJ2Wgu1zI,easy,MR,6.22475,0.9375
IMJ2Wgu1zI,hard,MR,11.7638125,0.75
IMJ2Wgu1zI,medium,MR,8.015125,0.875
JP0BqEE4Fj,easy,MR,10.532325,0.75
JP0BqEE4Fj,hard,MR,11.399868749874999,0.875
JP0BqEE4Fj,medium,MR,15.45578125,0.5625
JpDUHBwJT1,easy,MR,3.2135,0.5
JpDUHBwJT1,hard,MR,6.0116249999999996,0.6875
JpDUHBwJT1,medium,MR,4.1955,0.6875
KCZtWafWV1,easy,MR,4.8333625,0.9375
KCZtWafWV1,hard,MR,7.61424375,0.9375
KCZtWafWV1,medium,MR,11.29365,0.75
LMH4MBXVwL,easy,MR,6.9037,1
LMH4MBXVwL,hard,MR,29.0245125,0.875
LMH4MBXVwL,medium,MR,9.2173875,0.9375
OSi3LnpELr,easy,MR,10.50331875,1
OSi3LnpELr,hard,MR,1.6009437499999999,0.75
OSi3LnpELr,medium,MR,4.55859375,0.625
P7WDUMyOEc,easy,MR,11.144075,1
P7WDUMyOEc,hard,MR,19.28674375,0.9375
P7WDUMyOEc,medium,MR,12.87915625,1
Piksbkqbn1,easy,MR,4.6549375,1
Piksbkqbn1,hard,MR,11.7625625,0.75
Piksbkqbn1,medium,MR,7.4981875,0.875
PsevAJnzJ0,easy,MR,6.18608125,0.9375
PsevAJnzJ0,hard,MR,6.27826875,0.75
PsevAJnzJ0,medium,MR,8.49614375,0.5
QLrSXxmCJy,easy,MR,6.0292562499999995,1
QLrSXxmCJy,hard,MR,11.98816875,0.8125
QLrSXxmCJy,medium,MR,10.102375,1
S5rOjASl3o,easy,MR,1.4277,0.875
S5rOjASl3o,hard,MR,4.34486875,0.75
S5rOjASl3o,medium,MR,4.315425,0.75
TFDf2hLPou,easy,MR,5.38195,1
TFDf2hLPou,hard,MR,6.6498625,0.5625
TFDf2hLPou,medium,MR,10.30645,0.6875
VEZTZ89Pge,easy,MR,5.401,0.875
VEZTZ89Pge,hard,MR,5.7701875000000005,0.6875
VEZTZ89Pge,medium,MR,7.3559375000000005,0.625
VLeNMXjDPG,easy,MR,18.04375,0.75
VLeNMXjDPG,hard,MR,18.7195,0.75
VLeNMXjDPG,medium,MR,19.67025,0.75
W3y75sVKt1,easy,MR,4.17096875,1
W3y75sVKt1,hard,MR,10.65866875,0.9375
W3y75sVKt1,medium,MR,12.466325,1
WLE3Etok97,easy,MR,4.9978,0.625
WLE3Etok97,hard,MR,6.53266875,0.4375
WLE3Etok97,medium,MR,1.504175,0.6875
XdaJtcIO9r,easy,MR,8.39289375,0.8125
XdaJtcIO9r,hard,MR,13.955625,0.75
XdaJtcIO9r,medium,MR,11.10066875,1
XfAdJiOyxj,easy,MR,6.072375,1
XfAdJiOyxj,hard,MR,16.077375,0.875
XfAdJiOyxj,medium,MR,5.3933125,1
YuaQwhP1ZU,easy,MR,3.6221375,1
YuaQwhP1ZU,hard,MR,3.83514375,0.5
YuaQwhP1ZU,medium,MR,3.09455,0.75
alNlXuBH5D,easy,MR,8.42963125,1
alNlXuBH5D,hard,MR,21.54815625,0.625
alNlXuBH5D,medium,MR,16.85395,0.5625
antN5ck5Ic,easy,MR,8.5453125,0.9375
antN5ck5Ic,hard,MR,11.2664375,1
antN5ck5Ic,medium,MR,6.241875,0.75
bKUxTtubP9,easy,MR,25.473025,1
bKUxTtubP9,hard,MR,69.05466875,0.9375
bKUxTtubP9,medium,MR,37.06609375,1
cHjpJUhddy,easy,MR,10.794325,0.8125
cHjpJUhddy,hard,MR,9.3314,0.75
cHjpJUhddy,medium,MR,1.62725,0.625
cQX3GOCp9n,easy,MR,18.0574375,0.75
cQX3GOCp9n,hard,MR,18.4530625,0.4375
cQX3GOCp9n,medium,MR,19.418875,0.625
ctfjWeomyR,easy,MR,4.40611249975,0.75
ctfjWeomyR,hard,MR,6.94760625025,0.5625
ctfjWeomyR,medium,MR,5.400937500125,0.6875
d51zamtky2,easy,MR,3.49288125,0.875
d51zamtky2,hard,MR,9.4069625,1
d51zamtky2,medium,MR,5.02063125,1
dBrkfcNWsa,easy,MR,20.46863125,1
dBrkfcNWsa,hard,MR,26.1656375,0.5
dBrkfcNWsa,medium,MR,15.11838125,0.875
dWejUN00z6,easy,MR,3.2801375,0.8125
dWejUN00z6,hard,MR,5.7325875,0.8125
dWejUN00z6,medium,MR,4.906525,0.8125
eJJDMz958g,easy,MR,3.4815,1
eJJDMz958g,hard,MR,6.68173125,0.8125
eJJDMz958g,medium,MR,4.805925,0.9375
f5NHoRoonR,easy,MR,10.220375,1
f5NHoRoonR,hard,MR,35.9329375,0.875
f5NHoRoonR,medium,MR,13.3548125,1
jipsxYWATF,easy,MR,10.1234375,0.5625
jipsxYWATF,hard,MR,4.6975625,0.5625
jipsxYWATF,medium,MR,1.6828125,0.25
kdi0TDNbL6,easy,MR,25.2004375,1
kdi0TDNbL6,hard,MR,52.747125000000004,1
kdi0TDNbL6,medium,MR,29.047875,0.9375
kuTZjru3VL,easy,MR,5.61185625,0.875
kuTZjru3VL,hard,MR,6.5910375,0.4375
kuTZjru3VL,medium,MR,4.98150625,0.6875
l8OD3O4E3f,easy,MR,5.1404,1
l8OD3O4E3f,hard,MR,17.80609375,0.8125
l8OD3O4E3f,medium,MR,10.878149999875,0.875
lqSj6DxkoP,easy,MR,5.78485625,0.875
lqSj6DxkoP,hard,MR,17.4365625,0.8125
lqSj6DxkoP,medium,MR,11.37506875,0.8125
m0mjdT90SU,easy,MR,10.471175,0.75
m0mjdT90SU,hard,MR,6.577325,0.625
m0mjdT90SU,medium,MR,8.65696875,0.5625
n5pHkx5qnN,easy,MR,10.3882125,0.875
n5pHkx5qnN,hard,MR,14.749431249999999,0.5625
n5pHkx5qnN,medium,MR,8.5711375,0.375
qG1rKdXNBQ,easy,MR,3.07715625,1
qG1rKdXNBQ,hard,MR,6.40464375,0.875
qG1rKdXNBQ,medium,MR,5.63738125,0.75
qI9h62z2Ku,easy,MR,5.7593875000625,0.8125
qI9h62z2Ku,hard,MR,7.213343749875,0.5
qI9h62z2Ku,medium,MR,9.953668749937501,0.4375
qJhGaTGZut,easy,MR,4.433818749875,0.375
qJhGaTGZut,hard,MR,3.2690937502499997,0.4375
qJhGaTGZut,medium,MR,3.489043749875,0.3125
qUOF6OZDRD,easy,MR,5.537125,0.5625
qUOF6OZDRD,hard,MR,4.6124375,0.625
qUOF6OZDRD,medium,MR,5.0799375,0.6875
qn7iE4w9eA,easy,MR,8.7143125,0.8125
qn7iE4w9eA,hard,MR,9.912375,0.8125
qn7iE4w9eA,medium,MR,13.813375,0.875
s04AljyS4e,easy,MR,6.7798,0.75
s04AljyS4e,hard,MR,11.57484375,0.4375
s04AljyS4e,medium,MR,6.74438125,0.75
soqMs9Hfya,easy,MR,6.0156875,1
soqMs9Hfya,hard,MR,9.7491875,0.75
soqMs9Hfya,medium,MR,7.664,0.75
tgdzehXaH9,easy,MR,3.98849375,0.875
tgdzehXaH9,hard,MR,8.29085,1
tgdzehXaH9,medium,MR,6.2417625,1
uofo7FKPdo,easy,MR,2.849875,0.3125
uofo7FKPdo,hard,MR,1.79275,0.5
uofo7FKPdo,medium,MR,4.619875,0.5625
urmN2MGqMI,easy,MR,3.74598125,1
urmN2MGqMI,hard,MR,7.93851875,0.8125
urmN2MGqMI,medium,MR,4.6043,0.875
vI3wi8YxaP,easy,MR,8.484925,1
vI3wi8YxaP,hard,MR,25.9443375,0.875
vI3wi8YxaP,medium,MR,14.69583125,0.875
vsfwWZKL1V,easy,MR,2.9237875,1
vsfwWZKL1V,hard,MR,8.39491875,0.9375
vsfwWZKL1V,medium,MR,5.12039375,0.9375
wgRo2jLpXH,easy,MR,3.76714375,0.875
wgRo2jLpXH,hard,MR,6.9613375,0.875
wgRo2jLpXH,medium,MR,5.79595,0.9375
xSgZ6tF2Kx,easy,MR,4.0048125,0.3125
xSgZ6tF2Kx,hard,MR,11.04523125,0.6875
xSgZ6tF2Kx,medium,MR,5.92731875,0.5625
xYKzEb6U69,easy,MR,3.53059375,0.8125
xYKzEb6U69,hard,MR,7.07980625,0.75
xYKzEb6U69,medium,MR,5.779675,0.75
xtgn1TlDJE,easy,MR,7.4358,0.9375
xtgn1TlDJE,hard,MR,15.24365,0.75
xtgn1TlDJE,medium,MR,4.62955,0.75
y4Sh5zF3gm,easy,MR,5.65699375,0.9375
y4Sh5zF3gm,hard,MR,5.5007875,0.875
y4Sh5zF3gm,medium,MR,7.1436875,0.75
yIjm6EG67z,easy,MR,7.723125,0.8125
yIjm6EG67z,hard,MR,6.7005625,0.5
yIjm6EG67z,medium,MR,6.976,0.6875
yRSAaGEgHo,easy,MR,9.45533125,0.9375
yRSAaGEgHo,hard,MR,11.81603125,0.875
yRSAaGEgHo,medium,MR,9.5393375,0.8125
z8uZORh5Lg,easy,MR,7.6345625,0.875
z8uZORh5Lg,hard,MR,6.6469125,0.75
z8uZORh5Lg,medium,MR,6.37383125,0.8125
z93bJWn4hw,easy,MR,8.4885,1
z93bJWn4hw,hard,MR,10.96430625,0.9375
z93bJWn4hw,medium,MR,5.16779375,1
