level,task,order,id
hard,MS,1,3hMsm8I7aY
easy,MS,2,3hMsm8I7aY
medium,MR,3,3hMsm8I7aY
hard,MR,4,3hMsm8I7aY
easy,MR,5,3hMsm8I7aY
hard,ST,6,3hMsm8I7aY
medium,ST,7,3hMsm8I7aY
medium,MS,8,3hMsm8I7aY
easy,ST,9,3hMsm8I7aY
medium,MS,1,TM72GyUTkf
medium,MR,2,TM72GyUTkf
hard,ST,3,TM72GyUTkf
medium,ST,4,TM72GyUTkf
hard,MS,5,TM72GyUTkf
hard,MR,6,TM72GyUTkf
easy,MS,7,TM72GyUTkf
easy,MR,8,TM72GyUTkf
easy,ST,9,TM72GyUTkf
easy,MS,1,vXDUnP6HMG
easy,ST,2,vXDUnP6HMG
hard,MR,3,vXDUnP6HMG
medium,MR,4,vXDUnP6HMG
medium,ST,5,vXDUnP6HMG
easy,MR,6,vXDUnP6HMG
hard,ST,7,vXDUnP6HMG
hard,MS,8,vXDUnP6HMG
medium,MS,9,vXDUnP6HMG
hard,MS,1,Go0eoSC1Hu
easy,MR,2,Go0eoSC1Hu
medium,ST,3,Go0eoSC1Hu
medium,MS,4,Go0eoSC1Hu
easy,MS,5,Go0eoSC1Hu
easy,ST,6,Go0eoSC1Hu
hard,ST,7,Go0eoSC1Hu
medium,MR,8,Go0eoSC1Hu
hard,MR,9,Go0eoSC1Hu
medium,MS,1,uofo7FKPdo
medium,MR,2,uofo7FKPdo
easy,MS,3,uofo7FKPdo
easy,ST,4,uofo7FKPdo
easy,MR,5,uofo7FKPdo
medium,ST,6,uofo7FKPdo
hard,MR,7,uofo7FKPdo
hard,MS,8,uofo7FKPdo
hard,ST,9,uofo7FKPdo
medium,ST,1,VEZTZ89Pge
hard,MR,2,VEZTZ89Pge
hard,ST,3,VEZTZ89Pge
medium,MS,4,VEZTZ89Pge
easy,ST,5,VEZTZ89Pge
easy,MR,6,VEZTZ89Pge
medium,MR,7,VEZTZ89Pge
hard,MS,8,VEZTZ89Pge
easy,MS,9,VEZTZ89Pge
easy,ST,1,HF94YUUt2C
hard,MR,2,HF94YUUt2C
medium,MR,3,HF94YUUt2C
hard,MS,4,HF94YUUt2C
medium,MS,5,HF94YUUt2C
easy,MR,6,HF94YUUt2C
medium,ST,7,HF94YUUt2C
hard,ST,8,HF94YUUt2C
easy,MS,9,HF94YUUt2C
hard,MR,1,z93bJWn4hw
hard,MS,2,z93bJWn4hw
medium,ST,3,z93bJWn4hw
medium,MS,4,z93bJWn4hw
easy,MR,5,z93bJWn4hw
easy,MS,6,z93bJWn4hw
hard,ST,7,z93bJWn4hw
medium,MR,8,z93bJWn4hw
easy,ST,9,z93bJWn4hw
medium,MS,1,PsevAJnzJ0
hard,MR,2,PsevAJnzJ0
easy,MR,3,PsevAJnzJ0
medium,MR,4,PsevAJnzJ0
medium,ST,5,PsevAJnzJ0
easy,ST,6,PsevAJnzJ0
hard,ST,7,PsevAJnzJ0
hard,MS,8,PsevAJnzJ0
easy,MS,9,PsevAJnzJ0
easy,MR,1,Piksbkqbn1
hard,MR,2,Piksbkqbn1
hard,MS,3,Piksbkqbn1
medium,MR,4,Piksbkqbn1
medium,MS,5,Piksbkqbn1
easy,MS,6,Piksbkqbn1
medium,ST,7,Piksbkqbn1
hard,ST,8,Piksbkqbn1
easy,ST,9,Piksbkqbn1
easy,ST,1,dWejUN00z6
hard,ST,2,dWejUN00z6
medium,ST,3,dWejUN00z6
medium,MS,4,dWejUN00z6
hard,MS,5,dWejUN00z6
easy,MS,6,dWejUN00z6
hard,MR,7,dWejUN00z6
medium,MR,8,dWejUN00z6
easy,MR,9,dWejUN00z6
easy,MS,1,qG1rKdXNBQ
hard,ST,2,qG1rKdXNBQ
medium,MR,3,qG1rKdXNBQ
easy,MR,4,qG1rKdXNBQ
hard,MS,5,qG1rKdXNBQ
medium,ST,6,qG1rKdXNBQ
medium,MS,7,qG1rKdXNBQ
easy,ST,8,qG1rKdXNBQ
hard,MR,9,qG1rKdXNBQ
medium,ST,1,2dX8HaA5QM
medium,MS,2,2dX8HaA5QM
hard,MR,3,2dX8HaA5QM
easy,ST,4,2dX8HaA5QM
hard,MS,5,2dX8HaA5QM
easy,MS,6,2dX8HaA5QM
easy,MR,7,2dX8HaA5QM
medium,MR,8,2dX8HaA5QM
hard,ST,9,2dX8HaA5QM
easy,ST,1,jipsxYWATF
medium,MR,2,jipsxYWATF
hard,ST,3,jipsxYWATF
easy,MS,4,jipsxYWATF
hard,MS,5,jipsxYWATF
medium,MS,6,jipsxYWATF
hard,MR,7,jipsxYWATF
medium,ST,8,jipsxYWATF
easy,MR,9,jipsxYWATF
easy,MR,1,1W5HQaoCSR
medium,ST,2,1W5HQaoCSR
medium,MR,3,1W5HQaoCSR
easy,ST,4,1W5HQaoCSR
hard,MS,5,1W5HQaoCSR
medium,MS,6,1W5HQaoCSR
hard,MR,7,1W5HQaoCSR
hard,ST,8,1W5HQaoCSR
easy,MS,9,1W5HQaoCSR
easy,MR,1,qn7iE4w9eA
easy,ST,2,qn7iE4w9eA
hard,MR,3,qn7iE4w9eA
medium,ST,4,qn7iE4w9eA
easy,MS,5,qn7iE4w9eA
medium,MS,6,qn7iE4w9eA
medium,MR,7,qn7iE4w9eA
hard,ST,8,qn7iE4w9eA
hard,MS,9,qn7iE4w9eA
easy,ST,1,kuTZjru3VL
hard,MR,2,kuTZjru3VL
medium,ST,3,kuTZjru3VL
easy,MS,4,kuTZjru3VL
hard,MS,5,kuTZjru3VL
hard,ST,6,kuTZjru3VL
medium,MR,7,kuTZjru3VL
easy,MR,8,kuTZjru3VL
medium,MS,9,kuTZjru3VL
medium,MR,1,antN5ck5Ic
hard,MR,2,antN5ck5Ic
hard,MS,3,antN5ck5Ic
hard,ST,4,antN5ck5Ic
medium,ST,5,antN5ck5Ic
medium,MS,6,antN5ck5Ic
easy,ST,7,antN5ck5Ic
easy,MS,8,antN5ck5Ic
easy,MR,9,antN5ck5Ic
medium,MS,1,lqSj6DxkoP
medium,MR,2,lqSj6DxkoP
hard,MS,3,lqSj6DxkoP
easy,MR,4,lqSj6DxkoP
easy,ST,5,lqSj6DxkoP
medium,ST,6,lqSj6DxkoP
hard,ST,7,lqSj6DxkoP
hard,MR,8,lqSj6DxkoP
easy,MS,9,lqSj6DxkoP
easy,ST,1,urmN2MGqMI
hard,MR,2,urmN2MGqMI
hard,MS,3,urmN2MGqMI
hard,ST,4,urmN2MGqMI
easy,MR,5,urmN2MGqMI
medium,MR,6,urmN2MGqMI
medium,ST,7,urmN2MGqMI
medium,MS,8,urmN2MGqMI
easy,MS,9,urmN2MGqMI
easy,MR,1,d51zamtky2
medium,MS,2,d51zamtky2
hard,ST,3,d51zamtky2
medium,ST,4,d51zamtky2
hard,MS,5,d51zamtky2
hard,MR,6,d51zamtky2
medium,MR,7,d51zamtky2
easy,MS,8,d51zamtky2
easy,ST,9,d51zamtky2
easy,MR,1,EgEJAn9pKN
hard,ST,2,EgEJAn9pKN
easy,MS,3,EgEJAn9pKN
hard,MS,4,EgEJAn9pKN
medium,ST,5,EgEJAn9pKN
hard,MR,6,EgEJAn9pKN
medium,MS,7,EgEJAn9pKN
easy,ST,8,EgEJAn9pKN
medium,MR,9,EgEJAn9pKN
easy,MR,1,W3y75sVKt1
easy,ST,2,W3y75sVKt1
medium,ST,3,W3y75sVKt1
hard,ST,4,W3y75sVKt1
easy,MS,5,W3y75sVKt1
medium,MS,6,W3y75sVKt1
medium,MR,7,W3y75sVKt1
hard,MS,8,W3y75sVKt1
hard,MR,9,W3y75sVKt1
medium,MS,1,soqMs9Hfya
medium,ST,2,soqMs9Hfya
hard,ST,3,soqMs9Hfya
hard,MR,4,soqMs9Hfya
easy,ST,5,soqMs9Hfya
easy,MS,6,soqMs9Hfya
easy,MR,7,soqMs9Hfya
medium,MR,8,soqMs9Hfya
hard,MS,9,soqMs9Hfya
easy,MS,1,YuaQwhP1ZU
hard,MR,2,YuaQwhP1ZU
hard,MS,3,YuaQwhP1ZU
medium,ST,4,YuaQwhP1ZU
medium,MR,5,YuaQwhP1ZU
easy,ST,6,YuaQwhP1ZU
medium,MS,7,YuaQwhP1ZU
hard,ST,8,YuaQwhP1ZU
easy,MR,9,YuaQwhP1ZU
hard,MR,1,2vlCeeOoXs
easy,MR,2,2vlCeeOoXs
hard,ST,3,2vlCeeOoXs
medium,ST,4,2vlCeeOoXs
easy,MS,5,2vlCeeOoXs
easy,ST,6,2vlCeeOoXs
medium,MS,7,2vlCeeOoXs
hard,MS,8,2vlCeeOoXs
medium,MR,9,2vlCeeOoXs
hard,ST,1,KCZtWafWV1
medium,MR,2,KCZtWafWV1
hard,MR,3,KCZtWafWV1
medium,ST,4,KCZtWafWV1
easy,ST,5,KCZtWafWV1
easy,MR,6,KCZtWafWV1
hard,MS,7,KCZtWafWV1
easy,MS,8,KCZtWafWV1
medium,MS,9,KCZtWafWV1
easy,MS,1,n5pHkx5qnN
easy,ST,2,n5pHkx5qnN
medium,MS,3,n5pHkx5qnN
hard,ST,4,n5pHkx5qnN
easy,MR,5,n5pHkx5qnN
hard,MS,6,n5pHkx5qnN
hard,MR,7,n5pHkx5qnN
medium,ST,8,n5pHkx5qnN
medium,MR,9,n5pHkx5qnN
easy,ST,1,wgRo2jLpXH
easy,MS,2,wgRo2jLpXH
medium,MR,3,wgRo2jLpXH
hard,MS,4,wgRo2jLpXH
easy,MR,5,wgRo2jLpXH
hard,ST,6,wgRo2jLpXH
medium,MS,7,wgRo2jLpXH
hard,MR,8,wgRo2jLpXH
medium,ST,9,wgRo2jLpXH
hard,ST,1,IMJ2Wgu1zI
hard,MS,2,IMJ2Wgu1zI
easy,MR,3,IMJ2Wgu1zI
medium,ST,4,IMJ2Wgu1zI
medium,MR,5,IMJ2Wgu1zI
easy,ST,6,IMJ2Wgu1zI
medium,MS,7,IMJ2Wgu1zI
easy,MS,8,IMJ2Wgu1zI
hard,MR,9,IMJ2Wgu1zI
easy,MR,1,S5rOjASl3o
hard,ST,2,S5rOjASl3o
easy,MS,3,S5rOjASl3o
medium,ST,4,S5rOjASl3o
medium,MS,5,S5rOjASl3o
easy,ST,6,S5rOjASl3o
medium,MR,7,S5rOjASl3o
hard,MR,8,S5rOjASl3o
hard,MS,9,S5rOjASl3o
easy,ST,1,LMH4MBXVwL
hard,ST,2,LMH4MBXVwL
easy,MS,3,LMH4MBXVwL
hard,MS,4,LMH4MBXVwL
easy,MR,5,LMH4MBXVwL
medium,ST,6,LMH4MBXVwL
medium,MR,7,LMH4MBXVwL
medium,MS,8,LMH4MBXVwL
hard,MR,9,LMH4MBXVwL
easy,MS,1,y4Sh5zF3gm
hard,MR,2,y4Sh5zF3gm
medium,MS,3,y4Sh5zF3gm
hard,MS,4,y4Sh5zF3gm
easy,MR,5,y4Sh5zF3gm
easy,ST,6,y4Sh5zF3gm
medium,ST,7,y4Sh5zF3gm
hard,ST,8,y4Sh5zF3gm
medium,MR,9,y4Sh5zF3gm
hard,MR,1,DoJgv77gQp
easy,MS,2,DoJgv77gQp
medium,MR,3,DoJgv77gQp
easy,ST,4,DoJgv77gQp
medium,MS,5,DoJgv77gQp
hard,ST,6,DoJgv77gQp
easy,MR,7,DoJgv77gQp
hard,MS,8,DoJgv77gQp
medium,ST,9,DoJgv77gQp
medium,MR,1,5oQkfRc0Dh
medium,ST,2,5oQkfRc0Dh
easy,MS,3,5oQkfRc0Dh
easy,MR,4,5oQkfRc0Dh
easy,ST,5,5oQkfRc0Dh
hard,MS,6,5oQkfRc0Dh
hard,ST,7,5oQkfRc0Dh
hard,MR,8,5oQkfRc0Dh
medium,MS,9,5oQkfRc0Dh
hard,MS,1,yRSAaGEgHo
easy,MR,2,yRSAaGEgHo
hard,ST,3,yRSAaGEgHo
hard,MR,4,yRSAaGEgHo
medium,MS,5,yRSAaGEgHo
medium,ST,6,yRSAaGEgHo
medium,MR,7,yRSAaGEgHo
easy,MS,8,yRSAaGEgHo
easy,ST,9,yRSAaGEgHo
easy,ST,1,WLE3Etok97
hard,MS,2,WLE3Etok97
hard,ST,3,WLE3Etok97
easy,MR,4,WLE3Etok97
medium,ST,5,WLE3Etok97
medium,MS,6,WLE3Etok97
medium,MR,7,WLE3Etok97
easy,MS,8,WLE3Etok97
hard,MR,9,WLE3Etok97
easy,ST,1,HajArhl9Mf
medium,MS,2,HajArhl9Mf
medium,ST,3,HajArhl9Mf
easy,MR,4,HajArhl9Mf
hard,ST,5,HajArhl9Mf
hard,MS,6,HajArhl9Mf
medium,MR,7,HajArhl9Mf
hard,MR,8,HajArhl9Mf
easy,MS,9,HajArhl9Mf
hard,MS,1,xYKzEb6U69
medium,MS,2,xYKzEb6U69
easy,MR,3,xYKzEb6U69
easy,MS,4,xYKzEb6U69
hard,ST,5,xYKzEb6U69
medium,ST,6,xYKzEb6U69
medium,MR,7,xYKzEb6U69
hard,MR,8,xYKzEb6U69
easy,ST,9,xYKzEb6U69
medium,MR,1,XdaJtcIO9r
hard,MS,2,XdaJtcIO9r
easy,MR,3,XdaJtcIO9r
easy,MS,4,XdaJtcIO9r
medium,MS,5,XdaJtcIO9r
hard,ST,6,XdaJtcIO9r
easy,ST,7,XdaJtcIO9r
medium,ST,8,XdaJtcIO9r
hard,MR,9,XdaJtcIO9r
medium,MR,1,JpDUHBwJT1
medium,ST,2,JpDUHBwJT1
easy,MS,3,JpDUHBwJT1
hard,MR,4,JpDUHBwJT1
hard,ST,5,JpDUHBwJT1
medium,MS,6,JpDUHBwJT1
easy,ST,7,JpDUHBwJT1
easy,MR,8,JpDUHBwJT1
hard,MS,9,JpDUHBwJT1
medium,MR,1,z8uZORh5Lg
easy,MS,2,z8uZORh5Lg
easy,MR,3,z8uZORh5Lg
hard,MS,4,z8uZORh5Lg
easy,ST,5,z8uZORh5Lg
hard,ST,6,z8uZORh5Lg
hard,MR,7,z8uZORh5Lg
medium,ST,8,z8uZORh5Lg
medium,MS,9,z8uZORh5Lg
hard,MS,1,yIjm6EG67z
medium,ST,2,yIjm6EG67z
easy,MS,3,yIjm6EG67z
easy,MR,4,yIjm6EG67z
hard,MR,5,yIjm6EG67z
medium,MS,6,yIjm6EG67z
easy,ST,7,yIjm6EG67z
medium,MR,8,yIjm6EG67z
hard,ST,9,yIjm6EG67z
hard,ST,1,alNlXuBH5D
hard,MS,2,alNlXuBH5D
medium,ST,3,alNlXuBH5D
easy,MS,4,alNlXuBH5D
easy,MR,5,alNlXuBH5D
medium,MR,6,alNlXuBH5D
hard,MR,7,alNlXuBH5D
medium,MS,8,alNlXuBH5D
easy,ST,9,alNlXuBH5D
hard,MS,1,QLrSXxmCJy
easy,ST,2,QLrSXxmCJy
hard,ST,3,QLrSXxmCJy
easy,MR,4,QLrSXxmCJy
medium,MS,5,QLrSXxmCJy
hard,MR,6,QLrSXxmCJy
medium,ST,7,QLrSXxmCJy
medium,MR,8,QLrSXxmCJy
easy,MS,9,QLrSXxmCJy
medium,MS,1,8BtJMmB1PT
medium,ST,2,8BtJMmB1PT
easy,MR,3,8BtJMmB1PT
medium,MR,4,8BtJMmB1PT
easy,ST,5,8BtJMmB1PT
hard,ST,6,8BtJMmB1PT
easy,MS,7,8BtJMmB1PT
hard,MS,8,8BtJMmB1PT
hard,MR,9,8BtJMmB1PT
hard,MS,1,8xVAczfPKp
easy,MS,2,8xVAczfPKp
easy,MR,3,8xVAczfPKp
medium,MS,4,8xVAczfPKp
hard,ST,5,8xVAczfPKp
easy,ST,6,8xVAczfPKp
hard,MR,7,8xVAczfPKp
medium,ST,8,8xVAczfPKp
medium,MR,9,8xVAczfPKp
hard,ST,1,P7WDUMyOEc
easy,MR,2,P7WDUMyOEc
easy,MS,3,P7WDUMyOEc
medium,MS,4,P7WDUMyOEc
easy,ST,5,P7WDUMyOEc
hard,MS,6,P7WDUMyOEc
medium,MR,7,P7WDUMyOEc
hard,MR,8,P7WDUMyOEc
medium,ST,9,P7WDUMyOEc
hard,MR,1,cHjpJUhddy
medium,MR,2,cHjpJUhddy
medium,MS,3,cHjpJUhddy
easy,ST,4,cHjpJUhddy
easy,MR,5,cHjpJUhddy
easy,MS,6,cHjpJUhddy
hard,MS,7,cHjpJUhddy
hard,ST,8,cHjpJUhddy
medium,ST,9,cHjpJUhddy
easy,ST,1,qI9h62z2Ku
hard,ST,2,qI9h62z2Ku
hard,MR,3,qI9h62z2Ku
medium,ST,4,qI9h62z2Ku
easy,MS,5,qI9h62z2Ku
medium,MS,6,qI9h62z2Ku
hard,MS,7,qI9h62z2Ku
medium,MR,8,qI9h62z2Ku
easy,MR,9,qI9h62z2Ku
easy,MR,1,OSi3LnpELr
hard,MR,2,OSi3LnpELr
medium,MS,3,OSi3LnpELr
easy,ST,4,OSi3LnpELr
hard,ST,5,OSi3LnpELr
medium,ST,6,OSi3LnpELr
easy,MS,7,OSi3LnpELr
medium,MR,8,OSi3LnpELr
hard,MS,9,OSi3LnpELr
medium,MS,1,m0mjdT90SU
medium,ST,2,m0mjdT90SU
medium,MR,3,m0mjdT90SU
easy,ST,4,m0mjdT90SU
hard,MS,5,m0mjdT90SU
easy,MS,6,m0mjdT90SU
hard,ST,7,m0mjdT90SU
easy,MR,8,m0mjdT90SU
hard,MR,9,m0mjdT90SU
medium,MR,1,I64skoy66n
medium,ST,2,I64skoy66n
hard,ST,3,I64skoy66n
hard,MR,4,I64skoy66n
hard,MS,5,I64skoy66n
medium,MS,6,I64skoy66n
easy,MS,7,I64skoy66n
easy,ST,8,I64skoy66n
easy,MR,9,I64skoy66n
medium,ST,1,l8OD3O4E3f
easy,ST,2,l8OD3O4E3f
easy,MR,3,l8OD3O4E3f
hard,MR,4,l8OD3O4E3f
hard,ST,5,l8OD3O4E3f
easy,MS,6,l8OD3O4E3f
medium,MR,7,l8OD3O4E3f
hard,MS,8,l8OD3O4E3f
medium,MS,9,l8OD3O4E3f
easy,MR,1,s04AljyS4e
easy,ST,2,s04AljyS4e
hard,MR,3,s04AljyS4e
medium,ST,4,s04AljyS4e
easy,MS,5,s04AljyS4e
medium,MS,6,s04AljyS4e
medium,MR,7,s04AljyS4e
hard,ST,8,s04AljyS4e
hard,MS,9,s04AljyS4e
medium,ST,1,vsfwWZKL1V
easy,MR,2,vsfwWZKL1V
easy,MS,3,vsfwWZKL1V
hard,ST,4,vsfwWZKL1V
hard,MR,5,vsfwWZKL1V
hard,MS,6,vsfwWZKL1V
medium,MR,7,vsfwWZKL1V
medium,MS,8,vsfwWZKL1V
easy,ST,9,vsfwWZKL1V
medium,ST,1,FDaGWmAPTr
medium,MR,2,FDaGWmAPTr
hard,ST,3,FDaGWmAPTr
easy,MR,4,FDaGWmAPTr
hard,MS,5,FDaGWmAPTr
easy,ST,6,FDaGWmAPTr
easy,MS,7,FDaGWmAPTr
medium,MS,8,FDaGWmAPTr
hard,MR,9,FDaGWmAPTr
easy,ST,1,XfAdJiOyxj
hard,ST,2,XfAdJiOyxj
medium,MS,3,XfAdJiOyxj
hard,MS,4,XfAdJiOyxj
easy,MR,5,XfAdJiOyxj
hard,MR,6,XfAdJiOyxj
medium,MR,7,XfAdJiOyxj
medium,ST,8,XfAdJiOyxj
easy,MS,9,XfAdJiOyxj
hard,ST,1,cQX3GOCp9n
medium,MR,2,cQX3GOCp9n
hard,MR,3,cQX3GOCp9n
easy,ST,4,cQX3GOCp9n
medium,ST,5,cQX3GOCp9n
hard,MS,6,cQX3GOCp9n
easy,MR,7,cQX3GOCp9n
medium,MS,8,cQX3GOCp9n
easy,MS,9,cQX3GOCp9n
medium,MS,1,Hxjg3OTYhu
medium,ST,2,Hxjg3OTYhu
easy,MR,3,Hxjg3OTYhu
medium,MR,4,Hxjg3OTYhu
hard,MR,5,Hxjg3OTYhu
easy,MS,6,Hxjg3OTYhu
easy,ST,7,Hxjg3OTYhu
hard,ST,8,Hxjg3OTYhu
hard,MS,9,Hxjg3OTYhu
medium,ST,1,TFDf2hLPou
medium,MS,2,TFDf2hLPou
hard,MR,3,TFDf2hLPou
hard,MS,4,TFDf2hLPou
easy,MR,5,TFDf2hLPou
easy,ST,6,TFDf2hLPou
medium,MR,7,TFDf2hLPou
easy,MS,8,TFDf2hLPou
hard,ST,9,TFDf2hLPou
easy,MS,1,ExbVOsMHAA
easy,ST,2,ExbVOsMHAA
medium,MS,3,ExbVOsMHAA
hard,ST,4,ExbVOsMHAA
hard,MS,5,ExbVOsMHAA
easy,MR,6,ExbVOsMHAA
medium,MR,7,ExbVOsMHAA
medium,ST,8,ExbVOsMHAA
hard,MR,9,ExbVOsMHAA
easy,ST,1,GJzcwSPe9Z
easy,MS,2,GJzcwSPe9Z
medium,ST,3,GJzcwSPe9Z
easy,MR,4,GJzcwSPe9Z
medium,MR,5,GJzcwSPe9Z
hard,MR,6,GJzcwSPe9Z
hard,MS,7,GJzcwSPe9Z
medium,MS,8,GJzcwSPe9Z
hard,ST,9,GJzcwSPe9Z
hard,MS,1,qJhGaTGZut
medium,MR,2,qJhGaTGZut
hard,ST,3,qJhGaTGZut
easy,MR,4,qJhGaTGZut
easy,ST,5,qJhGaTGZut
easy,MS,6,qJhGaTGZut
medium,ST,7,qJhGaTGZut
medium,MS,8,qJhGaTGZut
hard,MR,9,qJhGaTGZut
easy,MR,1,dBrkfcNWsa
medium,ST,2,dBrkfcNWsa
hard,MS,3,dBrkfcNWsa
easy,ST,4,dBrkfcNWsa
medium,MR,5,dBrkfcNWsa
hard,MR,6,dBrkfcNWsa
easy,MS,7,dBrkfcNWsa
medium,MS,8,dBrkfcNWsa
hard,ST,9,dBrkfcNWsa
easy,ST,1,VLeNMXjDPG
easy,MR,2,VLeNMXjDPG
hard,MS,3,VLeNMXjDPG
medium,MR,4,VLeNMXjDPG
hard,MR,5,VLeNMXjDPG
medium,MS,6,VLeNMXjDPG
easy,MS,7,VLeNMXjDPG
medium,ST,8,VLeNMXjDPG
hard,ST,9,VLeNMXjDPG
medium,ST,1,qUOF6OZDRD
hard,ST,2,qUOF6OZDRD
medium,MR,3,qUOF6OZDRD
easy,MS,4,qUOF6OZDRD
hard,MR,5,qUOF6OZDRD
hard,MS,6,qUOF6OZDRD
medium,MS,7,qUOF6OZDRD
easy,MR,8,qUOF6OZDRD
easy,ST,9,qUOF6OZDRD
easy,MR,1,JP0BqEE4Fj
hard,MR,2,JP0BqEE4Fj
medium,MR,3,JP0BqEE4Fj
easy,ST,4,JP0BqEE4Fj
hard,MS,5,JP0BqEE4Fj
easy,MS,6,JP0BqEE4Fj
medium,MS,7,JP0BqEE4Fj
hard,ST,8,JP0BqEE4Fj
medium,ST,9,JP0BqEE4Fj
hard,MR,1,ctfjWeomyR
medium,MS,2,ctfjWeomyR
easy,ST,3,ctfjWeomyR
hard,MS,4,ctfjWeomyR
easy,MS,5,ctfjWeomyR
medium,ST,6,ctfjWeomyR
medium,MR,7,ctfjWeomyR
hard,ST,8,ctfjWeomyR
easy,MR,9,ctfjWeomyR
easy,ST,1,eJJDMz958g
medium,MS,2,eJJDMz958g
easy,MS,3,eJJDMz958g
hard,MR,4,eJJDMz958g
medium,MR,5,eJJDMz958g
hard,ST,6,eJJDMz958g
easy,MR,7,eJJDMz958g
hard,MS,8,eJJDMz958g
medium,ST,9,eJJDMz958g
easy,MS,1,vI3wi8YxaP
medium,ST,2,vI3wi8YxaP
easy,MR,3,vI3wi8YxaP
medium,MR,4,vI3wi8YxaP
hard,MR,5,vI3wi8YxaP
medium,MS,6,vI3wi8YxaP
easy,ST,7,vI3wi8YxaP
hard,MS,8,vI3wi8YxaP
hard,ST,9,vI3wi8YxaP
hard,MR,1,bKUxTtubP9
medium,MR,2,bKUxTtubP9
easy,MS,3,bKUxTtubP9
hard,ST,4,bKUxTtubP9
easy,MR,5,bKUxTtubP9
easy,ST,6,bKUxTtubP9
hard,MS,7,bKUxTtubP9
medium,ST,8,bKUxTtubP9
medium,MS,9,bKUxTtubP9
hard,MS,1,8eLeJBm5SV
medium,MS,2,8eLeJBm5SV
hard,MR,3,8eLeJBm5SV
medium,MR,4,8eLeJBm5SV
medium,ST,5,8eLeJBm5SV
easy,MS,6,8eLeJBm5SV
easy,MR,7,8eLeJBm5SV
hard,ST,8,8eLeJBm5SV
easy,ST,9,8eLeJBm5SV
medium,MR,1,FfPm6QztsA
hard,MR,2,FfPm6QztsA
medium,MS,3,FfPm6QztsA
medium,ST,4,FfPm6QztsA
easy,MS,5,FfPm6QztsA
hard,ST,6,FfPm6QztsA
easy,ST,7,FfPm6QztsA
hard,MS,8,FfPm6QztsA
easy,MR,9,FfPm6QztsA
hard,ST,1,kdi0TDNbL6
medium,MS,2,kdi0TDNbL6
medium,MR,3,kdi0TDNbL6
hard,MR,4,kdi0TDNbL6
easy,MS,5,kdi0TDNbL6
medium,ST,6,kdi0TDNbL6
easy,ST,7,kdi0TDNbL6
easy,MR,8,kdi0TDNbL6
hard,MS,9,kdi0TDNbL6
medium,MS,1,f5NHoRoonR
hard,MR,2,f5NHoRoonR
easy,ST,3,f5NHoRoonR
easy,MS,4,f5NHoRoonR
easy,MR,5,f5NHoRoonR
hard,ST,6,f5NHoRoonR
hard,MS,7,f5NHoRoonR
medium,ST,8,f5NHoRoonR
medium,MR,9,f5NHoRoonR
easy,MR,1,2Rn7YC7ktN
hard,MR,2,2Rn7YC7ktN
easy,MS,3,2Rn7YC7ktN
easy,ST,4,2Rn7YC7ktN
medium,MR,5,2Rn7YC7ktN
medium,MS,6,2Rn7YC7ktN
hard,ST,7,2Rn7YC7ktN
medium,ST,8,2Rn7YC7ktN
hard,MS,9,2Rn7YC7ktN
hard,MS,1,8PPM98ESGr
hard,MR,2,8PPM98ESGr
medium,ST,3,8PPM98ESGr
easy,MS,4,8PPM98ESGr
easy,ST,5,8PPM98ESGr
medium,MS,6,8PPM98ESGr
easy,MR,7,8PPM98ESGr
hard,ST,8,8PPM98ESGr
medium,MR,9,8PPM98ESGr
hard,ST,1,xtgn1TlDJE
easy,MR,2,xtgn1TlDJE
medium,ST,3,xtgn1TlDJE
medium,MR,4,xtgn1TlDJE
hard,MS,5,xtgn1TlDJE
medium,MS,6,xtgn1TlDJE
easy,MS,7,xtgn1TlDJE
hard,MR,8,xtgn1TlDJE
easy,ST,9,xtgn1TlDJE
hard,MS,1,tgdzehXaH9
medium,MS,2,tgdzehXaH9
hard,MR,3,tgdzehXaH9
easy,MS,4,tgdzehXaH9
hard,ST,5,tgdzehXaH9
easy,MR,6,tgdzehXaH9
medium,MR,7,tgdzehXaH9
medium,ST,8,tgdzehXaH9
easy,ST,9,tgdzehXaH9
medium,MS,1,xSgZ6tF2Kx
medium,ST,2,xSgZ6tF2Kx
hard,MR,3,xSgZ6tF2Kx
easy,ST,4,xSgZ6tF2Kx
hard,ST,5,xSgZ6tF2Kx
easy,MS,6,xSgZ6tF2Kx
easy,MR,7,xSgZ6tF2Kx
hard,MS,8,xSgZ6tF2Kx
medium,MR,9,xSgZ6tF2Kx
medium,MR,1,HmPsw2WtYS
easy,MS,2,HmPsw2WtYS
easy,MR,3,HmPsw2WtYS
medium,MS,4,HmPsw2WtYS
medium,ST,5,HmPsw2WtYS
easy,ST,6,HmPsw2WtYS
hard,MS,7,HmPsw2WtYS
hard,MR,8,HmPsw2WtYS
hard,ST,9,HmPsw2WtYS
